sep=|
DIPUTACIONES
06/09/2022 22:30 (UTC-5)
CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL|LISTA_NOMINAL|OBSERVACIONES
="230255C0200"|230255C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0255"|2|C|0|1|2|14|2|1|95|7|12|38|31|2|54|-|0|0|0|0|0|0|0|0|1|0|6|0|0|0|0|1|18|282|575|COTEJADO EN PLENO
="230255C0300"|230255C030002|23|QUINTANA ROO|="01"|DISTRITO 1|="0255"|3|C|0|1|2|22|13|1|74|4|14|47|20|1|57|-|0|0|0|0|2|0|0|0|0|0|8|0|0|0|0|1|9|273|575|COTEJADO EN PLENO
="230256B0100"|230256B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0256"|1|B|0|1|2|27|3|1|71|16|11|51|22|1|41|-|0|0|0|0|2|0|0|1|0|0|2|1|0|1|0|0|19|270|660|COTEJADO EN PLENO
="230256C0100"|230256C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0256"|1|C|0|1|2|24|5|1|75|9|14|48|25|2|46|-|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|15|266|660|COTEJADO EN PLENO
="230257B0100"|230257B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0257"|1|B|0|2|2|22|0|3|72|6|17|50|25|0|36|-|0|0|0|0|2|0|0|0|0|0|4|1|0|0|3|0|10|251|544|COTEJADO EN PLENO
="230257C0100"|230257C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0257"|1|C|0|2|2|30|2|4|61|7|12|38|30|2|41|-|0|0|0|0|0|0|0|0|0|0|4|1|2|0|3|0|8|245|544|COTEJADO EN PLENO
="230257C0200"|230257C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0257"|2|C|0|2|2|13|6|1|62|2|16|63|19|1|39|-|0|0|0|0|0|0|0|0|1|0|3|3|0|0|2|0|14|245|543|COTEJADO EN PLENO
="230258B0100"|230258B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0258"|1|B|0|2|2|20|2|2|98|4|18|69|34|1|56|-|0|0|0|0|0|1|2|1|0|0|8|0|0|0|0|0|28|344|688|COTEJADO EN PLENO
="230258C0100"|230258C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0258"|1|C|0|2|2|25|1|2|118|5|19|50|25|0|68|-|0|0|0|0|0|0|0|1|0|0|5|0|0|0|3|1|25|348|688|RECONTADO EN PLENO
="230258C0200"|230258C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0258"|2|C|0|2|2|37|4|2|76|4|25|53|22|0|49|-|0|0|0|0|0|0|0|0|0|0|6|1|3|0|3|0|19|304|687|COTEJADO EN PLENO
